"No.","Time","Source","Destination","Protocol","Length","Info"
"36","6.357328","192.168.1.48","35.186.227.140","TLSv1.2","105","Application Data"
"37","6.357925","192.168.1.48","35.186.227.140","TLSv1.2","90","Application Data"
"38","6.366334","35.186.227.140","192.168.1.48","TCP","66","443  >  49548 [ACK] Seq=1 Ack=65 Win=419 Len=0 TSval=3270521011 TSecr=1893283509"
"39","6.366335","35.186.227.140","192.168.1.48","TCP","66","443  >  49548 [FIN, ACK] Seq=1 Ack=65 Win=419 Len=0 TSval=3270521011 TSecr=1893283509"
"40","6.366376","192.168.1.48","35.186.227.140","TCP","66","49548  >  443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=1893283518 TSecr=3270521011"
"41","6.388626","192.168.1.48","192.16.49.85","TCP","66","45192  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1199123853 TSecr=2273920499"
"42","6.396847","192.16.49.85","192.168.1.48","TCP","66","[TCP ACKed unseen segment] 80  >  45192 [ACK] Seq=1 Ack=2 Win=131 Len=0 TSval=2273930738 TSecr=1199092880"
"43","6.426553","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TLSv1.2","180","Application Data"
"44","6.430317","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TCP","86","443  >  49584 [ACK] Seq=269 Ack=189 Win=1904 Len=0 TSval=117865462 TSecr=3603004425"
"45","6.453833","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.217? Tell 192.168.1.1"
"46","6.453833","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.218? Tell 192.168.1.1"
"47","6.453833","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.219? Tell 192.168.1.1"
"48","6.453833","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.220? Tell 192.168.1.1"
"49","6.453833","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.221? Tell 192.168.1.1"
"50","6.758291","Google_f7:21:7a","Broadcast","ARP","60","Who has 192.168.1.47? Tell 192.168.1.41"
"51","7.066123","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"52","7.681197","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.222? Tell 192.168.1.1"
"53","7.681198","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.223? Tell 192.168.1.1"
"54","7.681198","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.224? Tell 192.168.1.1"
"55","7.681198","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.225? Tell 192.168.1.1"
"56","7.681198","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.226? Tell 192.168.1.1"
"57","7.681198","Google_f7:21:7a","Broadcast","ARP","60","Who has 192.168.1.47? Tell 192.168.1.41"
"58","7.987095","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"59","8.602797","Google_f7:21:7a","Broadcast","ARP","60","Who has 192.168.1.47? Tell 192.168.1.41"
"60","8.602798","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.227? Tell 192.168.1.1"
"61","8.602798","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.228? Tell 192.168.1.1"
"62","8.602798","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.229? Tell 192.168.1.1"
"63","8.602798","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.230? Tell 192.168.1.1"
"64","8.602798","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.231? Tell 192.168.1.1"
"65","8.908676","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"66","9.216268","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TLSv1.2","167","Application Data"
"67","9.216334","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TCP","86","49584  >  443 [ACK] Seq=189 Ack=350 Win=559 Len=0 TSval=3603007215 TSecr=117868210"
"68","9.404282","192.168.1.48","34.117.65.55","TLSv1.2","105","Application Data"
"69","9.404560","192.168.1.48","34.117.65.55","TLSv1.2","90","Application Data"
"70","9.415871","34.117.65.55","192.168.1.48","TCP","66","443  >  47182 [ACK] Seq=1 Ack=65 Win=267 Len=0 TSval=713740303 TSecr=1467894559"
"71","9.415872","34.117.65.55","192.168.1.48","TCP","66","443  >  47182 [FIN, ACK] Seq=1 Ack=65 Win=267 Len=0 TSval=713740303 TSecr=1467894559"
"72","9.415913","192.168.1.48","34.117.65.55","TCP","66","47182  >  443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=1467894571 TSecr=713740303"
"73","9.832146","Google_f7:21:7a","Broadcast","ARP","60","Who has 192.168.1.38? Tell 192.168.1.41"
"74","9.832147","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.232? Tell 192.168.1.1"
"75","9.832147","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.233? Tell 192.168.1.1"
"76","9.832147","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.234? Tell 192.168.1.1"
"77","9.832147","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.235? Tell 192.168.1.1"
"78","9.832147","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.236? Tell 192.168.1.1"
"79","9.832148","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"80","10.448636","192.168.1.44","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"81","10.448637","192.168.1.44","224.0.0.251","MDNS","402","Standard query response 0x0000 PTR Chromecast-dbc7ae74a1db4ffcd009ff4616e47d6e._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 dbc7ae74-a1db-4ffc-d009-ff4616e47d6e.local A, cache flush 192.168.1.44"
"82","10.448637","192.168.1.44","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlezone._tcp.local, ""QM"" question"
"83","10.448637","192.168.1.44","224.0.0.251","MDNS","252","Standard query response 0x0000 PTR dbc7ae74-a1db-4ffc-d009-ff4616e47d6e._googlezone._tcp.local TXT, cache flush SRV, cache flush 510 32 10001 dbc7ae74-a1db-4ffc-d009-ff4616e47d6e.local A, cache flush 192.168.1.44"
"84","10.448637","192.168.1.41","224.0.0.251","MDNS","309","Standard query response 0x0000 PTR 23c88671-bb07-82c1-1465-841bf941cc32._googlezone._tcp.local TXT, cache flush SRV, cache flush 760 65535 10001 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"85","10.754413","192.168.1.41","224.0.0.251","MDNS","417","Standard query response 0x0000 PTR Chromecast-Audio-23c88671bb0782c11465841bf941cc32._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"86","10.754414","192.168.1.41","224.0.0.251","MDNS","429","Standard query response 0x0000 PTR Google-Cast-Group-256d45f4f018479ba71a894a0405d722._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 32154 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"87","10.754497","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.239? Tell 192.168.1.1"
"88","10.754497","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.240? Tell 192.168.1.1"
"89","10.754497","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.241? Tell 192.168.1.1"
"90","11.059542","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"91","11.366871","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TLSv1.2","212","Application Data"
"92","11.366944","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TCP","86","49584  >  443 [ACK] Seq=189 Ack=476 Win=559 Len=0 TSval=3603009366 TSecr=117870224"
"93","11.675106","192.168.1.41","224.0.0.251","MDNS","417","Standard query response 0x0000 PTR Chromecast-Audio-23c88671bb0782c11465841bf941cc32._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"94","11.675106","192.168.1.41","224.0.0.251","MDNS","429","Standard query response 0x0000 PTR Google-Cast-Group-256d45f4f018479ba71a894a0405d722._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 32154 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"95","11.982538","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.242? Tell 192.168.1.1"
"96","11.982539","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.243? Tell 192.168.1.1"
"97","11.982539","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.244? Tell 192.168.1.1"
"98","11.982539","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"99","11.982539","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.245? Tell 192.168.1.1"
"100","11.982539","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.246? Tell 192.168.1.1"
"101","12.595253","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TLSv1.2","175","Application Data"
"102","12.595288","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TCP","86","49584  >  443 [ACK] Seq=189 Ack=565 Win=559 Len=0 TSval=3603010594 TSecr=117871510"
"103","12.611342","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TLSv1.2","159","Application Data"
"104","12.615094","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TCP","86","443  >  49584 [ACK] Seq=565 Ack=262 Win=1904 Len=0 TSval=117871647 TSecr=3603010610"
"105","12.903286","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.247? Tell 192.168.1.1"
"106","12.903287","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.248? Tell 192.168.1.1"
"107","12.903287","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.249? Tell 192.168.1.1"
"108","12.903287","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.250? Tell 192.168.1.1"
"109","12.903287","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.251? Tell 192.168.1.1"
"110","12.903287","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"111","13.516597","192.168.1.43","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"112","13.565258","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TLSv1.2","182","Application Data"
"113","13.571043","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TCP","86","443  >  49584 [ACK] Seq=565 Ack=358 Win=1904 Len=0 TSval=117872603 TSecr=3603011564"
"114","13.823551","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"115","14.068812","192.168.1.48","179.40.131.41","TCP","66","[TCP Dup ACK 16#1] 33586  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2850030096 TSecr=3001797726"
"116","14.074583","179.40.131.41","192.168.1.48","TCP","66","[TCP Dup ACK 17#1] 80  >  33586 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3001807967 TSecr=2849937921"
"117","14.150251","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.252? Tell 192.168.1.1"
"118","14.150252","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.253? Tell 192.168.1.1"
"119","14.150252","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.254? Tell 192.168.1.1"
"120","14.748387","Google_f7:21:7a","Broadcast","ARP","60","Who has 192.168.1.40? Tell 192.168.1.41"
"121","15.052724","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"122","15.976105","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"123","15.976307","192.168.1.41","224.0.0.251","MDNS","417","Standard query response 0x0000 PTR Chromecast-Audio-23c88671bb0782c11465841bf941cc32._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"124","15.976307","192.168.1.41","224.0.0.251","MDNS","429","Standard query response 0x0000 PTR Google-Cast-Group-256d45f4f018479ba71a894a0405d722._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 32154 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"125","16.281705","fe80::f669:42ff:fe7b:32b0","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","ICMPv6","86","Neighbor Solicitation for 2802:8010:4713:de01:81e0:13aa:dce9:2c9e from f4:69:42:7b:32:b0"
"126","16.281732","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","fe80::f669:42ff:fe7b:32b0","ICMPv6","78","Neighbor Advertisement 2802:8010:4713:de01:81e0:13aa:dce9:2c9e (sol)"
"127","16.628768","192.168.1.48","192.16.49.85","TCP","66","[TCP Dup ACK 41#1] 45192  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1199134093 TSecr=2273930738"
"128","16.638940","192.16.49.85","192.168.1.48","TCP","66","[TCP Dup ACK 42#1] 80  >  45192 [ACK] Seq=1 Ack=2 Win=131 Len=0 TSval=2273940980 TSecr=1199092880"
"129","16.897725","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"130","17.203840","192.168.1.44","224.0.0.251","MDNS","417","Standard query response 0x0000 PTR Chromecast-dbc7ae74a1db4ffcd009ff4616e47d6e._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 dbc7ae74-a1db-4ffc-d009-ff4616e47d6e.local A, cache flush 192.168.1.44"
"131","17.203841","192.168.1.44","224.0.0.251","MDNS","402","Standard query response 0x0000 PTR Chromecast-dbc7ae74a1db4ffcd009ff4616e47d6e._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 dbc7ae74-a1db-4ffc-d009-ff4616e47d6e.local A, cache flush 192.168.1.44"
"132","18.738682","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.1? Tell 192.168.0.200"
"133","19.045901","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"134","19.249964","192.168.1.48","186.130.129.250","DNS","92","Standard query 0x10b0 A campus.exactas.uba.ar OPT"
"135","19.253247","192.168.1.48","157.92.32.196","TLSv1.2","151","Application Data"
"136","19.299637","157.92.32.196","192.168.1.48","TLSv1.2","799","Application Data"
"137","19.299694","192.168.1.48","157.92.32.196","TCP","66","42342  >  443 [ACK] Seq=86 Ack=734 Win=496 Len=0 TSval=2040726493 TSecr=1813116725"
"138","19.307801","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TLSv1.2","167","Application Data"
"139","19.313469","192.168.1.48","157.92.32.196","TLSv1.2","151","Application Data"
"140","19.348755","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TCP","86","49584  >  443 [ACK] Seq=358 Ack=646 Win=559 Len=0 TSval=3603017348 TSecr=117878340"
"141","19.371528","157.92.32.196","192.168.1.48","TLSv1.2","7647","Application Data"
"142","19.371529","157.92.32.196","192.168.1.48","TLSv1.2","104","Application Data"
"143","19.371662","192.168.1.48","157.92.32.196","TCP","66","42342  >  443 [ACK] Seq=171 Ack=8353 Win=501 Len=0 TSval=2040726565 TSecr=1813116794"
"144","19.390716","192.168.1.48","186.130.129.250","DNS","92","Standard query 0x3f14 AAAA campus.exactas.uba.ar OPT"
"145","19.398519","186.130.129.250","192.168.1.48","DNS","92","Standard query response 0x3f14 AAAA campus.exactas.uba.ar OPT"
"146","19.421372","186.130.129.250","192.168.1.48","DNS","140","Standard query response 0x10b0 A campus.exactas.uba.ar CNAME webservices1.fcen.uba.ar A 157.92.32.196 OPT"
"147","19.422181","192.168.1.48","186.130.129.250","DNS","95","Standard query 0xc60d AAAA webservices1.fcen.uba.ar OPT"
"148","19.434693","186.130.129.250","192.168.1.48","DNS","139","Standard query response 0xc60d AAAA webservices1.fcen.uba.ar SOA ns1.fcen.uba.ar OPT"
"149","19.623249","192.168.1.48","186.130.129.250","DNS","95","Standard query 0xc9aa AAAA webservices1.fcen.uba.ar OPT"
"150","19.625644","192.168.1.48","157.92.32.196","TLSv1.2","226","Application Data"
"151","19.626232","192.168.1.48","157.92.32.196","TLSv1.2","180","Application Data"
"152","19.632953","157.92.32.196","192.168.1.48","TLSv1.2","108","Application Data"
"153","19.635321","186.130.129.250","192.168.1.48","DNS","139","Standard query response 0xc9aa AAAA webservices1.fcen.uba.ar SOA ns1.fcen.uba.ar OPT"
"154","19.656513","157.92.32.196","192.168.1.48","TLSv1.2","534","Application Data"
"155","19.656729","192.168.1.48","157.92.32.196","TCP","66","42342  >  443 [ACK] Seq=445 Ack=8863 Win=523 Len=0 TSval=2040726850 TSecr=1813117072"
"156","19.967393","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"157","20.890257","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.2? Tell 192.168.1.1"
"158","20.890258","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.3? Tell 192.168.1.1"
"159","20.890258","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.4? Tell 192.168.1.1"
"160","20.890258","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.5? Tell 192.168.1.1"
"161","20.890258","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.1"
"162","20.890258","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"163","21.196382","192.168.1.1","224.0.0.1","IGMPv2","60","Membership Query, general"
"164","21.416637","192.168.1.48","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"165","21.505514","192.168.1.40","255.255.255.255","UDP","60","38805  >  10001 Len=4"
"166","21.505514","192.168.1.40","255.255.255.255","UDP","60","38805  >  10001 Len=4"
"167","21.509057","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TLSv1.2","386","Application Data"
"168","21.509090","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TCP","86","49584  >  443 [ACK] Seq=358 Ack=946 Win=559 Len=0 TSval=3603019508 TSecr=117880465"
"169","21.708747","AskeyCom_7b:32:b0","IntelCor_20:bf:2a","ARP","60","Who has 192.168.1.48? Tell 192.168.1.1"
"170","21.708783","IntelCor_20:bf:2a","AskeyCom_7b:32:b0","ARP","42","192.168.1.48 is at b0:3c:dc:20:bf:2a"
"171","21.719383","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TLSv1.2","167","Application Data"
"172","21.719430","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TCP","86","49584  >  443 [ACK] Seq=358 Ack=1027 Win=559 Len=0 TSval=3603019718 TSecr=117880752"
"173","21.814300","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.7? Tell 192.168.1.1"
"174","21.814300","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.8? Tell 192.168.1.1"
"175","21.814300","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"176","21.814300","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.9? Tell 192.168.1.1"
"177","21.814300","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.10? Tell 192.168.1.1"
"178","21.814300","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.11? Tell 192.168.1.1"
"179","21.991960","192.168.1.48","157.92.32.196","TLSv1.2","184","Application Data"
"180","21.993904","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TLSv1.2","180","Application Data"
"181","21.994315","192.168.1.48","157.92.32.196","TLSv1.2","150","Application Data"
"182","21.997756","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TCP","86","443  >  49584 [ACK] Seq=1027 Ack=452 Win=1904 Len=0 TSval=117881030 TSecr=3603019993"
"183","22.000938","157.92.32.196","192.168.1.48","TLSv1.2","108","Application Data"
"184","22.044577","157.92.32.196","192.168.1.48","TCP","66","443  >  42342 [ACK] Seq=8905 Ack=647 Win=126 Len=0 TSval=1813119484 TSecr=2040729187"
